{-0.67082,1.118},
{-0.22361,1.118},
{-0.22361,1.118},
{-0.67082,1.118},
{-1.118,0.67082},
{-1.118,0.22361},
{-1.118,0.22361},
{-1.118,0.67082},
{-0.67082,0.67082},
{-0.67082,0.22361},
{-0.67082,0.22361},
{-0.67082,0.67082},
{-0.22361,0.67082},
{-0.22361,0.22361},
{-0.22361,0.22361},
{-0.22361,0.67082},
{0.22361,0.67082},
{0.22361,0.22361},
{0.22361,0.22361},
{0.22361,0.67082},
{0.67082,0.67082},
{0.67082,0.22361},
{0.67082,0.22361},
{0.67082,0.67082},
{1.118,0.67082},
{1.118,0.22361},
{1.118,0.22361},
{1.118,0.67082},
{0.67082,1.118},
{0.22361,1.118},
{0.22361,1.118},
{0.67082,1.118},
